Row_ID,Original_Label,Binary_Label
0,Sudden Braking,1
1,Sharp Turns,1
2,Normal Riding,0
3,Normal Riding,0
4,Major Crash,1
5,Normal Riding,0
6,Sharp Turns,1
7,Sudden Braking,1
8,Speed Bump,1
9,Speed Bump,1
10,Sharp Turns,1
11,Sudden Braking,1
12,Minor Impact,1
13,Speed Bump,1
14,Major Crash,1
15,Minor Impact,1
16,Normal Riding,0
17,Sudden Braking,1
18,Minor Impact,1
19,Speed Bump,1
20,Major Crash,1
21,Minor Impact,1
22,Minor Impact,1
23,Sudden Braking,1
24,Major Crash,1
25,Major Crash,1
26,Sharp Turns,1
27,Major Crash,1
28,Sharp Turns,1
29,Major Crash,1
30,Speed Bump,1
31,Sharp Turns,1
32,Minor Impact,1
33,Sudden Braking,1
34,Sharp Turns,1
35,Sudden Braking,1
36,Sharp Turns,1
37,Major Crash,1
38,Sudden Braking,1
39,Sharp Turns,1
40,Sharp Turns,1
41,Sharp Turns,1
42,Speed Bump,1
43,Sharp Turns,1
44,Normal Riding,0
45,Speed Bump,1
46,Speed Bump,1
47,Major Crash,1
48,Normal Riding,0
49,Minor Impact,1
50,Normal Riding,0
51,Normal Riding,0
52,Sharp Turns,1
53,Sudden Braking,1
54,Sharp Turns,1
55,Normal Riding,0
56,Normal Riding,0
57,Minor Impact,1
58,Minor Impact,1
59,Sudden Braking,1
60,Sudden Braking,1
61,Speed Bump,1
62,Sharp Turns,1
63,Minor Impact,1
64,Speed Bump,1
65,Major Crash,1
66,Major Crash,1
67,Speed Bump,1
68,Major Crash,1
69,Minor Impact,1
70,Sudden Braking,1
71,Sharp Turns,1
72,Sudden Braking,1
73,Speed Bump,1
74,Sharp Turns,1
75,Sharp Turns,1
76,Sudden Braking,1
77,Speed Bump,1
78,Normal Riding,0
79,Normal Riding,0
80,Minor Impact,1
81,Major Crash,1
82,Major Crash,1
83,Major Crash,1
84,Speed Bump,1
85,Speed Bump,1
86,Normal Riding,0
87,Minor Impact,1
88,Speed Bump,1
89,Speed Bump,1
90,Major Crash,1
91,Sudden Braking,1
92,Normal Riding,0
93,Sudden Braking,1
94,Major Crash,1
95,Minor Impact,1
96,Sudden Braking,1
97,Major Crash,1
98,Sharp Turns,1
99,Normal Riding,0
100,Sharp Turns,1
101,Sudden Braking,1
102,Sharp Turns,1
103,Minor Impact,1
104,Normal Riding,0
105,Normal Riding,0
106,Speed Bump,1
107,Speed Bump,1
108,Sudden Braking,1
109,Minor Impact,1
110,Sharp Turns,1
111,Speed Bump,1
112,Sudden Braking,1
113,Minor Impact,1
114,Speed Bump,1
115,Minor Impact,1
116,Speed Bump,1
117,Major Crash,1
118,Speed Bump,1
119,Normal Riding,0
120,Speed Bump,1
121,Normal Riding,0
122,Normal Riding,0
123,Major Crash,1
124,Minor Impact,1
125,Sudden Braking,1
126,Normal Riding,0
127,Sharp Turns,1
128,Sharp Turns,1
129,Minor Impact,1
130,Normal Riding,0
131,Normal Riding,0
132,Speed Bump,1
133,Minor Impact,1
134,Sharp Turns,1
135,Normal Riding,0
136,Minor Impact,1
137,Sharp Turns,1
138,Major Crash,1
139,Sudden Braking,1
140,Normal Riding,0
141,Minor Impact,1
142,Normal Riding,0
143,Minor Impact,1
144,Minor Impact,1
145,Major Crash,1
146,Sharp Turns,1
147,Major Crash,1
148,Sharp Turns,1
149,Minor Impact,1
150,Major Crash,1
151,Speed Bump,1
152,Speed Bump,1
153,Normal Riding,0
154,Major Crash,1
155,Sudden Braking,1
156,Major Crash,1
157,Sudden Braking,1
158,Sharp Turns,1
159,Minor Impact,1
160,Normal Riding,0
161,Sudden Braking,1
162,Major Crash,1
163,Sudden Braking,1
164,Minor Impact,1
165,Normal Riding,0
166,Speed Bump,1
167,Major Crash,1
168,Speed Bump,1
169,Sharp Turns,1
170,Minor Impact,1
171,Speed Bump,1
172,Sudden Braking,1
173,Speed Bump,1
174,Normal Riding,0
175,Normal Riding,0
176,Speed Bump,1
177,Sudden Braking,1
178,Normal Riding,0
179,Major Crash,1
180,Minor Impact,1
181,Sharp Turns,1
182,Major Crash,1
183,Sudden Braking,1
184,Major Crash,1
185,Minor Impact,1
186,Speed Bump,1
187,Sharp Turns,1
188,Sudden Braking,1
189,Sudden Braking,1
190,Normal Riding,0
191,Minor Impact,1
192,Major Crash,1
193,Sudden Braking,1
194,Sharp Turns,1
195,Minor Impact,1
196,Sudden Braking,1
197,Normal Riding,0
198,Major Crash,1
199,Major Crash,1
