AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
-5.4,-0.29,9.64,3.25,1.98,1.59,Sudden Braking
0.48,0.61,8.69,5.97,2.51,70.95,Sharp Turns
-0.06,0.02,9.67,3.4,-1.37,-0.54,Normal Riding
0.09,0.1,9.82,-0.99,0.92,3.18,Normal Riding
8.78,6.29,15.47,73.44,43.41,72.14,Major Crash
0.14,-0.34,9.57,-0.82,-1.83,0.73,Normal Riding
0.31,3.49,9.18,-0.11,2.59,53.48,Sharp Turns
-4.28,-0.06,8.78,-2.02,0.78,-0.2,Sudden Braking
-0.46,0.98,13.24,13.66,-6.35,-0.4,Speed Bump
1.49,-0.1,11.57,0.8,-11.12,-0.1,Speed Bump
0.16,3.97,10.61,7.51,1.19,50.66,Sharp Turns
-5.82,0.41,9.01,4.43,14.03,-0.33,Sudden Braking
2.25,2.06,9.08,10.65,7.97,13.09,Minor Impact
-0.05,0.55,10.46,17.82,18.61,0.12,Speed Bump
6.31,6.42,16.45,85.55,95.5,92.7,Major Crash
2.08,4.66,8.89,0.41,18.08,15.48,Minor Impact
0.14,0.07,9.63,-2.34,1.24,0.69,Normal Riding
-4.54,-0.1,9.49,-1.94,9.33,1.25,Sudden Braking
2.22,2.63,13.43,9.79,15.93,13.7,Minor Impact
0.5,-0.0,13.66,2.3,9.02,4.65,Speed Bump
5.1,6.47,14.79,86.93,61.69,44.08,Major Crash
2.75,2.68,14.29,10.01,21.89,18.07,Minor Impact
2.08,3.16,11.87,5.87,25.83,36.16,Minor Impact
-8.29,0.37,9.75,-1.82,8.92,-1.62,Sudden Braking
13.71,5.34,15.9,101.27,84.32,113.24,Major Crash
11.71,6.05,12.07,62.9,52.95,91.88,Major Crash
-0.16,1.26,8.43,8.98,3.96,73.78,Sharp Turns
9.25,1.1,10.55,98.52,38.39,73.71,Major Crash
1.84,3.08,9.51,2.9,2.59,71.82,Sharp Turns
9.95,0.63,13.37,47.01,31.52,112.5,Major Crash
0.52,0.05,12.42,6.62,-5.03,-3.63,Speed Bump
0.79,3.1,8.73,-2.18,0.99,111.72,Sharp Turns
3.64,3.99,11.85,23.67,14.37,32.96,Minor Impact
-7.24,-0.09,9.36,-1.59,12.29,-1.16,Sudden Braking
0.61,1.98,9.61,-0.02,0.17,44.05,Sharp Turns
-5.77,0.08,9.5,-1.72,8.54,2.01,Sudden Braking
0.6,3.26,8.98,5.8,0.27,77.68,Sharp Turns
9.25,6.47,19.49,2.59,105.94,76.09,Major Crash
-6.4,-0.28,8.96,1.61,7.46,-2.34,Sudden Braking
0.5,1.25,10.05,2.26,0.43,98.08,Sharp Turns
0.67,0.8,9.06,2.01,1.78,88.65,Sharp Turns
-0.08,5.54,9.92,0.75,3.9,96.4,Sharp Turns
0.66,1.07,13.25,7.81,14.21,0.4,Speed Bump
0.54,0.62,10.12,4.89,2.77,96.62,Sharp Turns
0.27,-0.17,9.9,1.13,1.84,3.89,Normal Riding
0.0,0.24,14.66,11.06,-2.8,0.66,Speed Bump
1.12,-0.42,16.18,5.07,-0.83,3.85,Speed Bump
3.21,1.47,22.18,53.83,38.19,19.71,Major Crash
0.17,-0.06,9.68,-2.73,-0.69,1.81,Normal Riding
4.35,0.57,10.49,21.02,25.96,19.41,Minor Impact
0.13,-0.24,9.8,1.07,-1.57,0.41,Normal Riding
0.11,-0.35,9.75,1.01,3.16,-0.94,Normal Riding
-0.12,1.03,8.57,5.42,-1.84,113.61,Sharp Turns
-7.05,-0.13,9.49,-5.91,2.91,3.23,Sudden Braking
0.8,3.64,9.46,-3.64,3.29,79.57,Sharp Turns
0.06,-0.16,9.67,-1.33,0.05,0.78,Normal Riding
0.14,-0.06,9.55,0.25,0.32,5.03,Normal Riding
3.18,5.35,10.35,13.75,10.64,15.0,Minor Impact
2.24,2.03,11.9,14.17,23.79,11.95,Minor Impact
-5.19,1.01,9.67,1.74,9.24,-1.2,Sudden Braking
-5.78,-0.26,9.86,-3.98,11.6,-1.92,Sudden Braking
0.04,0.19,14.22,15.33,15.72,1.36,Speed Bump
0.86,4.78,9.93,-1.52,0.43,85.77,Sharp Turns
4.6,3.18,11.2,19.17,23.45,12.65,Minor Impact
0.01,0.18,12.38,5.57,28.83,-5.47,Speed Bump
4.58,1.8,22.39,100.25,44.86,143.07,Major Crash
8.68,5.65,18.3,72.98,61.73,24.05,Major Crash
1.04,0.0,14.76,3.58,6.04,6.4,Speed Bump
9.82,2.59,17.76,48.66,46.28,133.59,Major Crash
2.74,3.21,9.48,21.06,16.17,24.43,Minor Impact
-6.08,-0.24,10.21,2.62,5.78,0.12,Sudden Braking
0.08,4.62,8.85,5.46,3.78,68.19,Sharp Turns
-6.17,0.77,9.73,0.34,16.98,-3.92,Sudden Braking
0.74,-0.51,12.41,12.62,8.58,-2.31,Speed Bump
0.46,1.21,8.85,7.21,1.88,89.99,Sharp Turns
0.47,1.42,10.97,3.52,2.33,90.97,Sharp Turns
-4.87,-0.24,9.63,-0.43,14.87,1.17,Sudden Braking
0.58,-0.05,15.57,7.15,15.32,4.52,Speed Bump
0.01,0.23,9.78,-1.82,1.85,-2.34,Normal Riding
0.05,-0.17,9.76,1.11,3.97,0.45,Normal Riding
2.74,2.69,11.07,20.82,6.24,32.99,Minor Impact
9.65,4.0,20.93,79.94,105.66,60.7,Major Crash
1.72,6.73,14.91,88.81,64.93,118.2,Major Crash
9.57,12.33,21.23,89.1,73.08,103.9,Major Crash
1.13,0.78,18.45,-0.37,15.85,2.73,Speed Bump
0.02,0.38,14.29,18.13,16.55,-0.31,Speed Bump
0.38,0.02,9.64,1.61,-1.75,1.67,Normal Riding
3.57,3.73,12.98,22.06,22.47,30.52,Minor Impact
0.16,-0.03,17.56,7.83,-3.35,5.67,Speed Bump
0.81,0.71,16.5,5.15,14.14,0.76,Speed Bump
9.49,4.12,8.0,64.3,93.02,103.81,Major Crash
-7.23,-0.33,10.27,3.64,11.95,3.46,Sudden Braking
0.08,-0.1,9.6,-1.14,-0.72,2.21,Normal Riding
-5.28,0.02,9.75,-0.81,12.52,0.19,Sudden Braking
7.17,8.43,22.58,63.53,83.73,78.92,Major Crash
3.28,1.93,11.55,28.23,16.34,20.42,Minor Impact
-2.9,0.8,9.5,3.91,15.87,3.24,Sudden Braking
11.89,7.29,12.43,89.31,90.79,105.89,Major Crash
0.15,5.11,7.91,7.37,5.74,29.39,Sharp Turns
0.15,-0.31,9.82,-0.47,-1.15,1.32,Normal Riding
1.26,2.28,8.91,2.5,2.17,99.07,Sharp Turns
-3.57,0.0,9.83,1.93,30.47,2.74,Sudden Braking
-0.25,1.11,8.91,7.21,-0.85,132.91,Sharp Turns
2.8,1.01,14.21,25.02,13.45,20.24,Minor Impact
0.14,0.07,9.78,3.21,-0.33,5.54,Normal Riding
-0.04,-0.26,9.96,-0.15,0.34,-2.75,Normal Riding
1.47,0.62,8.84,6.31,2.04,5.41,Speed Bump
-0.01,0.02,15.22,9.27,7.81,2.47,Speed Bump
-7.32,0.19,9.56,0.34,15.69,2.02,Sudden Braking
0.74,3.31,12.91,21.4,8.23,19.57,Minor Impact
-0.43,4.0,9.36,1.5,4.13,84.77,Sharp Turns
-0.1,-0.31,16.16,10.54,13.62,4.51,Speed Bump
-4.86,-0.35,9.81,5.32,-2.83,-1.09,Sudden Braking
3.89,1.62,10.7,2.88,11.83,-1.81,Minor Impact
0.62,0.69,11.37,4.58,-21.17,-2.1,Speed Bump
2.69,3.74,12.12,21.65,18.99,24.03,Minor Impact
0.54,-0.01,13.02,1.55,2.7,5.4,Speed Bump
8.07,3.89,14.89,128.56,98.01,92.22,Major Crash
0.39,-0.2,13.46,2.98,10.9,-1.31,Speed Bump
0.11,0.1,9.7,-0.36,-0.58,-2.83,Normal Riding
0.56,0.23,13.72,9.17,0.64,10.37,Speed Bump
0.22,-0.19,9.95,-2.5,1.37,4.48,Normal Riding
-0.02,-0.13,9.89,0.96,-0.86,1.13,Normal Riding
8.42,2.3,22.35,46.34,66.66,58.88,Major Crash
2.84,2.44,13.19,13.87,15.67,15.84,Minor Impact
-6.37,-0.31,9.38,-2.59,23.79,0.57,Sudden Braking
0.25,0.09,9.68,-0.32,0.86,2.05,Normal Riding
-0.72,5.14,9.41,1.29,-1.04,38.59,Sharp Turns
0.14,0.9,9.35,1.91,-6.09,73.81,Sharp Turns
3.65,2.28,14.82,9.44,4.32,13.77,Minor Impact
0.09,0.18,9.47,1.94,0.37,-0.5,Normal Riding
0.14,-0.01,9.78,-0.17,-2.63,-0.74,Normal Riding
1.19,-0.32,18.41,-8.66,6.63,4.35,Speed Bump
2.16,3.65,12.73,32.77,19.09,16.77,Minor Impact
0.28,4.54,9.57,3.6,0.91,73.75,Sharp Turns
-0.05,-0.13,9.79,-0.71,-2.9,0.24,Normal Riding
1.92,4.56,11.43,6.55,15.9,13.87,Minor Impact
0.41,1.13,9.73,5.44,3.68,98.78,Sharp Turns
9.59,6.17,13.83,70.09,58.42,78.96,Major Crash
-8.93,0.08,9.75,0.9,-0.4,0.32,Sudden Braking
0.19,-0.18,9.65,1.26,-0.25,1.53,Normal Riding
2.13,2.67,11.47,27.51,32.69,15.22,Minor Impact
0.11,-0.22,9.82,1.42,2.37,2.21,Normal Riding
2.57,1.44,9.02,12.15,14.77,36.15,Minor Impact
3.07,-0.05,11.06,12.54,7.99,17.47,Minor Impact
5.98,7.97,17.94,35.59,92.48,118.64,Major Crash
1.3,4.42,8.4,-2.12,0.13,75.57,Sharp Turns
8.15,2.79,15.47,41.65,46.77,88.95,Major Crash
0.75,1.71,10.02,8.42,3.24,116.29,Sharp Turns
1.47,3.25,11.94,13.49,6.04,27.85,Minor Impact
5.45,4.52,13.55,126.92,68.4,92.04,Major Crash
0.51,0.31,13.72,-0.41,8.22,3.99,Speed Bump
0.69,0.87,15.69,9.56,5.16,5.04,Speed Bump
0.03,-0.08,9.65,-2.09,1.83,2.81,Normal Riding
5.61,9.35,14.32,78.14,56.19,80.44,Major Crash
-7.74,0.37,10.02,-4.28,4.9,-3.58,Sudden Braking
9.45,4.59,3.75,132.27,29.43,33.93,Major Crash
-5.57,-0.07,9.72,7.23,17.23,-0.15,Sudden Braking
-0.95,5.38,9.63,2.61,0.37,83.78,Sharp Turns
2.0,1.93,12.01,20.68,19.61,38.09,Minor Impact
0.34,0.07,9.72,1.39,-0.73,-0.83,Normal Riding
-7.6,-0.45,9.97,6.73,3.61,1.63,Sudden Braking
5.77,8.2,20.35,44.31,73.14,99.63,Major Crash
-7.26,0.33,9.29,-4.41,2.23,0.6,Sudden Braking
5.79,1.96,10.7,29.63,26.06,15.29,Minor Impact
0.02,-0.03,9.64,1.05,-1.0,-0.48,Normal Riding
0.04,0.64,11.82,6.52,8.41,-0.61,Speed Bump
6.61,5.84,17.76,49.43,54.34,33.28,Major Crash
-0.29,-0.17,14.68,8.6,12.64,17.41,Speed Bump
0.09,2.48,8.66,-0.11,-1.33,113.55,Sharp Turns
3.12,4.29,11.33,20.23,19.26,21.68,Minor Impact
-0.01,0.14,14.45,1.05,0.6,2.97,Speed Bump
